MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE SP_LETTER
"b'Parenago  2570'" 84.39222083333334 -6.3353777777777776 7 7 6.000 6.000 90 B O b'2003yCat.1289....0Z' b'F8' D b'1954TrSht..25....1P' F
"b'BD-05  1293'" 83.4553675 -5.545864166666666 8 8 57.960 45.930 90 B "" b'1998A&A...335L..65H' b'F3IV' D b'' F
"b'BD-05  1297'" 83.54636333333332 -5.381821111111111 8 8 64.360 41.760 0 B "" b'1998A&A...335L..65H' b'F8' D b'' F
"b'Parenago  1314'" 83.47083624999998 -6.890367499999999 8 8 114.200 58.260 90 B "" b'1998A&A...335L..65H' b'F8' D b'' F
"b'BD-06  1248A'" 84.00546249999998 -6.837313888888889 7 7 48.000 43.000 0 B O b'2000A&A...355L..27H' b'F4.0' D b'2013ApJ...764..114H' F
"b'HD  36919'" 83.70283333333332 -5.998611111111111 6 6 70.000 70.000 90 B I b'2003yCat.2246....0C' b'B9V' D b'' B
"b'IC  430'" 84.576 -7.040611111111111 6 6 -- -- 0 D "" b'2003AJ....126.1423K' b'B7' D b'2012A&A...538A..64C' B
"b'HD  36813'" 83.52279416666666 -6.838089444444444 9 9 7.040 5.100 90 A O b'2007A&A...474..653V' b'A0III' C b'1999MSS...C05....0H' A
"b'BD-05  1300'" 83.63512916666664 -5.762694444444445 7 7 43.000 34.000 0 B O b'2000A&A...355L..27H' b'A3' D b'' A
"b'HD  37188'" 84.12178833333333 -5.770140277777778 8 8 22.980 16.940 0 B "" b'1998A&A...335L..65H' b'A7II/III' D b'1999MSS...C05....0H' A
"b'*  45 Ori'" 83.91451958333332 -4.856068055555555 9 9 3.340 1.940 90 A O b'2007A&A...474..653V' b'A9IV/V' D b'1999MSS...C05....0H' A
"b'BD-06  1243'" 83.89504791666666 -6.364274166666666 8 8 45.600 43.940 0 B "" b'1998A&A...335L..65H' b'F9.0' D b'2013ApJ...764..114H' F
"b'Parenago  2497'" 84.29583333333332 -5.745 4 4 18000.000 18000.000 90 E "" b'' b'F9' D b'' F
"b'BD-05  1310'" 83.76508333333332 -5.095694444444444 6 6 -- -- 0 D "" b'2003AJ....126.1423K' b'B9' D b'' B
"b'BD-06  1239'" 83.79478333333331 -6.579061111111111 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'F8V' D b'' F
"b'HD  36899'" 83.67617041666665 -5.1207175 8 8 31.760 25.650 0 B "" b'1998A&A...335L..65H' b'A0V' C b'1999MSS...C05....0H' A
